text,label
"COVID vaccine contains microchips",1
"Drink hot lemon water cures coronavirus instantly",1
"Government announces free tuition for 2026",0
"University registration closes next Friday",0
"URGENT!!! Share this or your account will be banned",1
"New road project launched in Port Moresby",0
"Dispela marasin bai kilim corona olgeta",1
"School fees must be paid before semester starts",0
"Click this link now to claim your prize!", 1
"Earn bitcoin now using this platform", 1
"Free starlink routers for everyone", 1
"Government i tok olgeta citizens bai kisim free Starlink kit this month",1
"Official notice: New tax policy will be introduced next year",0
"URGENT!!! Register nau na kisim free Bitcoin from government program",1
"University announces new scholarship opportunities for 2026",0
"Starlink i kamap free long PNG olgeta, sign up nau",1
"Parliament session scheduled for next Monday",0
"Share dispela link na kisim free data bundle from government",1
"New road construction begins in Lae city",0
"Bitcoin investment bai mekim yu millionaire long 2 weeks",1
"Health department releases vaccination schedule",0
"Government secret program giving free cash grants, apply now!!!",1
"School term dates confirmed by education department",0
"Starlink promo: free installation for first 1000 users, click link",1
"Weather office warns of heavy rainfall this weekend",0
"Dispela website bai givim yu free Bitcoin if yu register today",1
"Police increase patrols in Port Moresby",0
"Government bai givim free laptops long olgeta citizens, sign up",1
"New hospital facility opens in Mt Hagen",0
"Invest K100 na kisim K10,000 through Bitcoin system",1
"PNG Power announces scheduled outages",0
"URGENT!!! Elon Musk givim free Starlink long PNG users",1
"University releases examination timetable",0
"Click here now to claim your free government allowance",1
"New public transport routes introduced",0
"Bitcoin trading secret approved by PNG government",1
"Health awareness campaign launched nationwide",0
"Starlink registration free today only, hurry!!!",1
"Local market prices remain stable this week",0
"Government bonus payout for all citizens, apply online",1
"School enrollment opens for next semester",0
"Dispela trick bai doublem Bitcoin blong yu overnight",1
"New bridge construction completed successfully",0
"Free internet from Starlink for everyone in PNG, sign up fast",1
"Community meeting scheduled this Friday",0
"Government i givim free fuel vouchers, register here",1
"Police warn against online scams",0
"Bitcoin mining app bai givim yu free money daily",1
"New agricultural program supports farmers",0
"Starlink free trial for PNG users, click now",1
"Health workers deployed to rural areas",0
"Government scheme: free cash transfer, no verification needed",1
"Road maintenance underway in several districts",0
"Dispela app bai givim yu free Bitcoin everyday",1
"Education reforms announced by minister",0
"URGENT!!! Claim your free Starlink router today",1
"Water supply improvements planned",0
"Government i tok olgeta student bai kisim free money",1
"Public holiday schedule released",0
"Bitcoin giveaway from official PNG authority, register now",1
"New police recruits graduate this week",0
"Starlink deal: no payment required, just sign up",1
"Local businesses report increased growth",0
"Free government housing program, apply instantly",1
"Airport upgrades to begin next year",0
"Dispela system bai mekim yu rich kwik tru long Bitcoin",1
"Health department warns about fake cures",0
"Starlink unlimited internet free for life, register here",1
"School curriculum updated for 2026",0
"Government bonus for all workers, no conditions",1
"New law passed in parliament",0
"Bitcoin investment guaranteed profit 100%",1
"Local sports tournament announced",0
"Free Starlink access approved by government",1
"New banking regulations introduced",0
"Click link now to receive free government funds",1
"Weather forecast predicts sunny conditions",0
"Bitcoin scheme approved by Bank of PNG",1
"Public service recruitment opens",0
"Starlink free upgrade available now",1
"Community health outreach continues",0
"Government i givim free land titles, apply nau",1
"Road safety campaign launched",0
"Free Bitcoin for first 500 users, hurry",1
"New education policy implemented",0
"Starlink installation free today only",1
"Local farmers receive training support",0
"Government relief fund available without verification",1
"Electricity supply stabilizes in city areas",0
"Bitcoin auto trading system makes instant profit",1
"Public transport fares remain unchanged",0
"Free Starlink for students, apply here",1
"Hospital equipment upgraded recently",0
"Government cash giveaway confirmed, register fast",1
"School reopening dates announced",0
"Bitcoin system bai givim yu money olgeta day",1
"Police advise public to stay alert",0
"Starlink government partnership gives free internet",1
"New infrastructure projects planned",0
"Free money from government, no ID required",1
"Health services expanded in rural PNG",0
"Bitcoin profit guaranteed within 24 hours",1
"Local businesses encouraged to register",0
"Starlink free devices for all citizens",1
"Education funding increased this year",0
"PNG Power to give free easipay units",1
